 143	  11.01.2020	  02:10:56	    temperatur	  24.299999237060547	    feuchtigkeit	  43.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 144	  11.01.2020	  02:11:56	    temperatur	  24.299999237060547	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 145	  11.01.2020	  02:12:57	    temperatur	  24.299999237060547	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 146	  11.01.2020	  02:13:58	    temperatur	  24.299999237060547	    feuchtigkeit	  43.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 147	  11.01.2020	  02:15:01	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 148	  11.01.2020	  02:16:01	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 149	  11.01.2020	  02:17:02	    temperatur	  24.200000762939453	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 150	  11.01.2020	  02:18:02	    temperatur	  24.200000762939453	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 151	  11.01.2020	  02:19:03	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 152	  11.01.2020	  02:20:04	    temperatur	  24.200000762939453	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 153	  11.01.2020	  02:21:07	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 154	  11.01.2020	  02:22:07	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 155	  11.01.2020	  02:23:08	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 156	  11.01.2020	  02:24:08	    temperatur	  24.200000762939453	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 157	  11.01.2020	  02:25:09	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 158	  11.01.2020	  02:26:10	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 159	  11.01.2020	  02:27:10	    temperatur	  24.200000762939453	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
